period(s),gaslimit,tps(tx/s),latency(ms),contracttime(渭s),dbreaadtime(渭s),dbwritetime(渭s),blockcommittime(ms)
5,25200000,228.5714286,16389.33158,4.296562836,7858.248875,10857.073,4990.571429
5,25350000,228.5714286,16309.71754,4.296025779,7967.403625,12596.4745,4989.857143
5,25500000,228.5714286,16274.84427,4.297099893,5569.951125,12465.36275,4992.857143
5,25650000,228.5714286,16319.30459,4.296240602,5848.24875,12026.35887,4992.857143
5,25800000,228.5714286,16369.45319,4.297744361,6003.843875,11102.2505,4991.857143
5,25950000,228.5714286,16321.64404,4.294629431,5329.066125,11218.05075,4988.714286
5,26100000,228.5714286,16330.31071,4.295810956,8380.68775,11262.62087,4989.714286
5,26250000,228.5714286,16281.30209,4.301611171,5959.86375,15977.03463,4992.714286
5,26400000,228.5714286,16350.7969,4.291407089,10447.45825,11138.59975,4983.714286
5,26550000,228.5714286,16300.0155,4.296992481,6141.653125,10929.5575,4992.428571
5,26700000,228.5714286,16318.60467,4.295918367,6444.0635,10850.08225,4991.857143
5,26850000,228.5714286,16251.7754,4.296562836,8903.226625,11205.76175,4989.285714
5,27000000,228.5714286,16276.10086,4.296777658,6004.64225,10538.693,4992.571429
5,27150000,228.5714286,16286.41832,4.296455424,7526.83875,10745.69938,4990.714286
5,27300000,228.5714286,16305.81927,4.295703545,5656.0565,10664.085,4990.571429
5,27450000,228.5714286,16329.13948,4.296992481,7459.204625,11013.71113,4988.714286
5,27600000,228.5714286,16300.11374,4.29613319,6221.29375,10450.32813,4992.285714
5,27750000,228.5714286,16320.71566,4.300966702,5589.421,11013.95725,4992.428571
5,27900000,228.5714286,16330.12298,4.291944146,6687.183625,10879.5755,4990.571429
5,28050000,228.5714286,16370.32858,4.296562836,6059.1375,10895.88025,4992.571429
5,28200000,228.5714286,16237.09524,4.296562836,5926.05625,11006.39513,4992.714286
5,28350000,228.5714286,16258.31759,4.296777658,15759.1685,10888.38413,4980.142857
5,28500000,228.5714286,16315.04662,4.296025779,10976.54763,10969.08975,4985.571429
5,28650000,228.5714286,16344.93488,4.29688507,6002.71575,10508.6275,4991
5,28800000,228.5714286,16307.77778,4.295810956,8942.247625,11057.11113,4989.142857
5,28950000,228.5714286,16352.27822,4.297099893,5113.074125,11168.60988,4993.857143
5,29100000,228.5714286,16326.70291,4.300859291,4866.60625,18613.138,4994.285714
5,29250000,228.5714286,16318.80227,4.291084855,10276.6815,11351.193,4985.142857
5,29400000,228.5714286,16369.45244,4.297099893,6903.271,10859.77238,4991.285714
5,29550000,228.5714286,16289.88389,4.298249382,8741.31875,10983.36187,4989.285714
5,29700000,228.5714286,16292.84614,4.293877551,5696.1595,11278.8175,4993
5,29850000,228.5714286,16359.84914,4.296777658,5931.870875,11250.0905,4992.714286
6,15150000,95.23809524,40624.85989,85145555.92,3488.255867,3292.449133,5995.142857
6,15300000,102.5641026,40054.17148,9.744838785,4499.031143,4837.059071,5994.538462
6,15450000,102.5641026,39465.64617,9.731664929,3427.800429,5387.629643,5993.846154
6,15600000,102.5641026,38884.94488,9.720865641,3662.327,5647.540571,5993.230769
