period(s),gaslimit,tps(tx/s),latency(ms),contracttime(μs),dbreaadtime(μs),dbwritetime(μs),blockcommittime(ms),readtime(ms),blockpropagationtime(ms)
5,22950000,228.5714286,18182.04112,4.908942203,3097.930879,9666.467222,4995.625,2.31ms,blockpropagation
5,23100000,228.5714286,17960.46369,4.902516066,5065.441345,9599.699111,4988.375,3.46ms,blockpropagation
5,23250000,228.5714286,17834.75778,4.892841601,4407.144655,9597.681333,4992.625,2.93ms,blockpropagation
5,23400000,228.5714286,17692.32083,4.346881113,4171.57124,10744.27238,4991.428571,3.19ms,blockpropagation
5,23550000,228.5714286,17547.2351,4.883763838,4046.375517,9503.054111,4994.75,3.56ms,blockpropagation
5,23700000,228.5714286,17384.74503,4.337272333,3964.714211,10455.80525,4994.571429,3.26ms,blockpropagation
5,23850000,228.5714286,17271.30446,4.33127572,4822.771125,27033.281,4986,3.37ms,blockpropagation
5,24000000,228.5714286,17115.16748,4.329367226,3751.074676,10891.8485,4990.714286,2.53ms,blockpropagation
5,24150000,228.5714286,17022.81827,4.859442524,4463.863645,10203.15178,4990.875,4.25ms,blockpropagation
5,24300000,228.5714286,16815.06437,4.852719033,3223.156813,9587.787444,4994.5,3.84ms,blockpropagation
5,24450000,228.5714286,16740.79528,4.3131803,3292.7312,12350.66513,4993.428571,3.57ms,blockpropagation
5,24600000,228.5714286,16515.88626,4.840275535,3729.847867,9501.352222,4993.75,3.43ms,blockpropagation
5,24750000,228.5714286,16381.95451,4.838546705,4064.733034,10709.19056,4993.25,3.19ms,blockpropagation
5,24900000,228.5714286,16237.85764,4.294307197,4019.176148,10343.58012,4991.571429,3.17ms,blockpropagation
5,25050000,228.5714286,16309.69204,4.296992481,4144.476455,10843.72462,4990.428571,3.66ms,blockpropagation
5,25200000,228.5714286,16231.93313,4.303222342,4120.81937,11896.5445,4992.142857,3.49ms,blockpropagation
5,25350000,228.5714286,16296.44457,4.289473684,3284.960971,12952.5055,4991.857143,3.57ms,blockpropagation
5,25500000,228.5714286,16288.90476,4.833404941,3495.172421,9385.498556,4993.625,3.04ms,blockpropagation
5,25650000,228.5714286,16336.25547,4.296562836,3451.751333,9351.87525,4993.571429,3.67ms,blockpropagation
5,25800000,228.5714286,16332.48631,4.298925886,3169.335516,10353.17088,4993.571429,3.68ms,blockpropagation
5,25950000,228.5714286,16309.33771,4.293877551,3475.855469,10948.04738,4992.857143,3.44ms,blockpropagation
5,26100000,228.5714286,16352.93601,4.296240602,4923.664333,15249.08637,4992.428571,4.26ms,blockpropagation
5,26250000,228.5714286,16331.90076,4.29538131,3320.126441,10265.7435,4991.857143,3.94ms,blockpropagation
5,26400000,228.5714286,16335.82602,4.298496241,3855.644175,11213.80788,4992.428571,4.35ms,blockpropagation
5,26550000,228.5714286,16300.84339,4.833834586,4712.889026,9863.896444,4988.75,3.76ms,blockpropagation
5,26700000,228.5714286,16325.978,4.295059076,4705.300429,18832.31,4992.428571,4.57ms,blockpropagation
5,26850000,228.5714286,16295.50756,4.296670247,5278.353364,10780.53263,4982.714286,5.11ms,blockpropagation
5,27000000,228.5714286,16281.4317,4.296777658,3398.313488,10369.96,4993.428571,3.56ms,blockpropagation
5,27150000,228.5714286,16370.24947,4.296240602,3510.135744,11310.82463,4992.428571,3.95ms,blockpropagation
5,27300000,228.5714286,16263.92963,4.298818475,3596.807694,10703.734,4992.571429,4.37ms,blockpropagation
5,27450000,228.5714286,16281.94738,4.294199785,3728.751311,16471.52313,4992.428571,4.55ms,blockpropagation
5,27600000,228.5714286,16288.11861,4.296348013,3691.564,11134.24988,4992.714286,3.76ms,blockpropagation
5,27750000,228.5714286,16330.11949,4.296777658,3923.184718,11013.47775,4991.571429,4.68ms,blockpropagation
5,27900000,228.5714286,16355.35996,4.836519871,3025.875809,15071.36089,4994,4.09ms,blockpropagation
5,28050000,228.5714286,16292.94451,4.293877551,3906.502471,10919.85912,4992.571429,4.52ms,blockpropagation
5,28200000,228.5714286,16309.95213,4.295703545,3597.891872,10611.76125,4992.857143,4.44ms,blockpropagation
5,28350000,228.5714286,16295.76465,4.296670247,3246.422524,10997.4295,4992.714286,3.52ms,blockpropagation
5,28500000,228.5714286,16329.2371,4.296670247,3582.18995,11189.245,4992.428571,4.42ms,blockpropagation
5,28650000,228.5714286,16324.76153,4.29613319,3872.101459,11091.0935,4993,3.66ms,blockpropagation
5,28800000,228.5714286,16321.5623,4.833941998,4465.441125,13618.22089,4993.5,5.34ms,blockpropagation
5,28950000,228.5714286,16318.65729,4.29688507,3671.974267,42418.38925,4993.142857,4.48ms,blockpropagation
5,29100000,228.5714286,16336.5638,4.83254565,4597.979878,9914.526778,4993,5.21ms,blockpropagation
5,29250000,228.5714286,16315.26972,4.296240602,3758.316162,11199.02463,4991.428571,5.24ms,blockpropagation
5,29400000,228.5714286,16344.85077,4.296025779,3768.438973,11025.5605,4993.285714,4.72ms,blockpropagation
5,29550000,228.5714286,16323.05812,4.296562836,4259.788488,11052.3725,4989,3.73ms,blockpropagation
5,29700000,228.5714286,16320.49669,4.296025779,3615.593357,10335.30375,4992.285714,4.74ms,blockpropagation
5,29850000,228.5714286,16326.14598,4.29613319,3526.835739,10961.95588,4990.857143,4.76ms,blockpropagation
5,30000000,228.5714286,16330.28971,4.296670247,3406.025163,11513.67963,4992.571429,4.22ms,blockpropagation
6,15000000,190.4761905,16328.24109,4.833404941,5709.489442,11184.74811,4987.625,4.45ms,blockpropagation
6,15150000,190.4761905,16248.07374,4.835553169,3877.572326,6189.328,4991.75,5.32ms,blockpropagation
6,15300000,190.4761905,16319.45707,4.294307197,4377.590149,9231.53725,4993,4.84ms,blockpropagation
6,15450000,190.4761905,16266.35646,4.296455424,4135.643957,9386.70525,4993,5.35ms,blockpropagation
6,15600000,190.4761905,16296.39283,4.29613319,4405.209686,8707.051625,4988.857143,5.61ms,blockpropagation
6,15750000,190.4761905,16316.8279,4.296562836,4145.401106,9456.342,4992,5.27ms,blockpropagation
6,15900000,190.4761905,16324.31634,4.296025779,4304.205156,9739.126375,4989.285714,6.18ms,blockpropagation
6,16050000,190.4761905,16266.18035,4.297207304,3934.289089,8931.033625,4992.571429,4.29ms,blockpropagation
6,16200000,190.4761905,16313.67629,4.297851772,3448.379644,8940.617,4992.142857,5.31ms,blockpropagation
6,16350000,190.4761905,16337.30759,4.296025779,3626.016956,9426.762375,4992.857143,4.92ms,blockpropagation
6,16500000,190.4761905,16306.57955,4.295059076,3575.596,9887.435,4994,4.36ms,blockpropagation
6,16650000,190.4761905,16298.48606,4.296348013,3547.753431,9469.507125,4992.285714,4.69ms,blockpropagation
6,16800000,190.4761905,16326.63617,4.834156821,3694.117114,8838.488444,4991,4.05ms,blockpropagation
6,16950000,190.4761905,16283.06824,4.296348013,4344.224136,9325.2645,4992.142857,4.44ms,blockpropagation
6,17100000,190.4761905,16310.80602,4.296455424,3849.645085,9309.94725,4992.857143,4.84ms,blockpropagation
6,17250000,190.4761905,16313.70991,4.29688507,4078.354848,11424.18738,4993.714286,5.48ms,blockpropagation
6,17400000,190.4761905,16334.71291,4.295810956,3557.723178,9529.0355,4993,5.02ms,blockpropagation
6,17550000,190.4761905,16294.39008,4.302685285,3825.714962,9057.123625,4991.857143,5.89ms,blockpropagation
6,17700000,190.4761905,16308.14861,4.290225564,3999.166022,9214.527,4992.142857,4.84ms,blockpropagation
6,17850000,190.4761905,16314.28071,4.296992481,4099.007814,10659.24513,4992.285714,5.7ms,blockpropagation
6,18000000,190.4761905,16320.42195,4.295810956,4094.54315,9467.137,4991.857143,5.51ms,blockpropagation
6,18150000,190.4761905,16282.13086,4.296562836,3873.565825,9247.1495,4993.571429,5.86ms,blockpropagation
6,18300000,190.4761905,16310.76553,4.298925886,3860.911477,9411.883625,4990.571429,5.98ms,blockpropagation
6,18450000,190.4761905,16321.53093,4.293662728,3822.216935,9579.0945,4992.857143,4.16ms,blockpropagation
6,18600000,190.4761905,16360.00962,4.834371643,3499.305356,9748.334222,4993.375,4.87ms,blockpropagation
6,18750000,190.4761905,16272.70629,4.295810956,4082.762273,10151.28463,4992.571429,4.13ms,blockpropagation
6,18900000,190.4761905,16325.87514,4.296670247,4044.452095,14656.79863,4992.285714,5.31ms,blockpropagation
6,19050000,190.4761905,16251.56055,4.295918367,3679.304339,9469.169,4992.142857,4.91ms,blockpropagation
6,19200000,190.4761905,16327.20135,4.296562836,3768.277612,10267.68163,4992,5.38ms,blockpropagation
6,19350000,190.4761905,16342.31434,4.296455424,4026.005268,10020.7965,4993.285714,5.38ms,blockpropagation
6,19500000,190.4761905,16327.11411,4.298496241,3522.069244,11909.73663,4992.714286,4.85ms,blockpropagation
6,19650000,190.4761905,16321.11511,4.293984962,3624.779457,9941.2645,4994,5.16ms,blockpropagation
6,19800000,190.4761905,16270.77465,4.83329753,3948.75566,8914.992111,4993.25,5.6ms,blockpropagation
6,19950000,190.4761905,16218.83752,4.833619764,4154.956224,8824.797333,4991.375,4.77ms,blockpropagation
6,20100000,190.4761905,16300.49031,4.296240602,3637.235022,9962.050125,4991.857143,5.95ms,blockpropagation
6,20250000,190.4761905,16293.10874,4.296992481,4367.859522,10275.903,4990.142857,5.67ms,blockpropagation
6,20400000,190.4761905,16244.82702,4.833512352,4552.525043,8985.036889,4987.875,5.77ms,blockpropagation
6,20550000,190.4761905,16288.51106,4.298388829,3060.779405,10585.43113,4993,4.64ms,blockpropagation
6,20700000,190.4761905,16336.61505,4.294522019,4908.262551,12285.66675,4989,4.63ms,blockpropagation
6,20850000,190.4761905,16314.76753,4.300429646,5089.232485,10700.11425,4988.714286,4.5ms,blockpropagation
6,21000000,190.4761905,16308.69991,4.291621912,4160.31784,10184.86213,4987.571429,4.71ms,blockpropagation
6,21150000,190.4761905,16293.52043,4.83329753,3041.711864,9169.288222,4993.5,4.14ms,blockpropagation
6,21300000,190.4761905,16301.09686,4.297529538,3496.59614,10140.59325,4991.714286,4.33ms,blockpropagation
6,21450000,190.4761905,16315.69779,4.298603652,3481.136913,10476.37037,4989.571429,3.78ms,blockpropagation
6,21600000,190.4761905,16277.74141,4.293984962,4466.483893,10483.65875,4988.857143,5.29ms,blockpropagation
6,21750000,190.4761905,16317.89539,4.833190118,3315.13449,9161.862,4990.875,5.55ms,blockpropagation
6,21900000,190.4761905,16288.54493,4.297422127,4377.793574,10538.25637,4989.857143,5.14ms,blockpropagation
6,22050000,190.4761905,16293.24222,4.833619764,3847.11683,9409.488111,4991.75,4.94ms,blockpropagation
6,22200000,190.4761905,16289.5623,4.296455424,4195.149717,14031.069,4990.714286,5.21ms,blockpropagation
6,22350000,190.4761905,16280.06899,4.3,3615.85995,10896.09888,4993.428571,5.68ms,blockpropagation
6,22500000,190.4761905,16364.92151,4.292051557,4573.758442,10558.92163,4985.142857,5.08ms,blockpropagation
6,22650000,190.4761905,16311.44732,4.296455424,3911.817625,10992.0685,4990.857143,4.49ms,blockpropagation
6,22800000,190.4761905,16311.56493,4.296348013,3857.290738,10989.72913,4993,4.37ms,blockpropagation
6,22950000,190.4761905,16311.24509,4.29613319,3636.83446,10545.31938,4992.142857,5.35ms,blockpropagation
6,23100000,190.4761905,16318.30109,4.300107411,3693.119061,14665.1165,4992.428571,4.75ms,blockpropagation
6,23250000,190.4761905,16301.43795,4.29301826,4029.088814,10787.39563,4990.428571,4.59ms,blockpropagation
6,23400000,190.4761905,16317.44194,4.29613319,3469.880529,11092.69013,4992.571429,5.85ms,blockpropagation
6,23550000,190.4761905,16282.25234,4.833512352,3275.246891,9181.537,4994.125,4.53ms,blockpropagation
6,23700000,190.4761905,16289.47369,4.297744361,3544.947213,10727.68513,4992.428571,4.58ms,blockpropagation
6,23850000,190.4761905,16305.26172,4.294629431,4105.234085,10833.4195,4993.285714,4.84ms,blockpropagation
6,24000000,190.4761905,16308.50094,4.834371643,4298.267978,11968.14589,4992.25,5.02ms,blockpropagation
6,24150000,190.4761905,16299.97125,4.295703545,3720.5765,10776.569,4991.428571,4.88ms,blockpropagation
6,24300000,190.4761905,16295.71729,4.300107411,3817.097089,10282.403,4993.571429,5.44ms,blockpropagation
6,24450000,190.4761905,16359.71729,4.832223416,4222.851286,9426.871556,4993.125,4.94ms,blockpropagation
6,24600000,190.4761905,16299.23535,4.294414608,4342.388822,12144.94775,4985.857143,4.83ms,blockpropagation
6,24750000,190.4761905,16341.8044,4.3,3824.1354,10412.374,4992.142857,5.28ms,blockpropagation
6,24900000,190.4761905,16301.03262,4.294092374,3294.3497,10645.98613,4993.142857,4.96ms,blockpropagation
6,25050000,190.4761905,16305.99788,4.298496241,3387.8974,10382.58663,4992.857143,5.24ms,blockpropagation
6,25200000,190.4761905,16302.29796,4.293662728,3441.958776,10346.04625,4986.285714,4.7ms,blockpropagation
6,25350000,190.4761905,16296.36145,4.83329753,3864.482,9694.006111,4994.25,4.89ms,blockpropagation
6,25500000,190.4761905,16317.8394,4.29613319,3784.459682,10319.79988,4992.571429,5.24ms,blockpropagation
6,25650000,190.4761905,16208.69066,4.304726101,3205.780463,10380.61088,4993.714286,4.85ms,blockpropagation
6,25800000,190.4761905,16310.39133,4.825456498,4985.541563,9369.903333,4987.75,4.93ms,blockpropagation
6,25950000,190.4761905,16328.09761,4.297207304,3879.877373,11099.077,4994.714286,4.92ms,blockpropagation
6,26100000,190.4761905,16312.97275,4.29538131,3526.444857,10890.09763,4990.285714,4.85ms,blockpropagation
6,26250000,190.4761905,16278.66367,4.296562836,3799.093128,13433.701,4992.714286,5.8ms,blockpropagation
6,26400000,190.4761905,16289.07062,4.297422127,3973.437592,10831.00163,4993.428571,4.93ms,blockpropagation
6,26550000,190.4761905,16309.86877,4.833190118,5020.082528,9592.792889,4987.375,5.33ms,blockpropagation
6,26700000,190.4761905,16322.57718,4.295810956,3361.285605,11101.38388,4993.714286,5.21ms,blockpropagation
6,26850000,190.4761905,16325.46044,4.29688507,3341.831123,10747.65075,4991.571429,5.6ms,blockpropagation
6,27000000,190.4761905,16293.6308,4.296670247,3649.795681,10426.95538,4993.142857,5.29ms,blockpropagation
6,27150000,190.4761905,16302.27984,4.29613319,3318.899604,10887.85363,4991.428571,5.15ms,blockpropagation
6,27300000,190.4761905,16326.23885,4.299033298,3568.825245,10774.7385,4991.285714,4.88ms,blockpropagation
6,27450000,190.4761905,16301.42657,4.830719656,3837.951233,10576.72411,4991.375,4.54ms,blockpropagation
6,27600000,190.4761905,16336.30646,4.837701396,3904.133628,13689.21056,4994.125,4.99ms,blockpropagation
6,27750000,190.4761905,16307.74416,4.295596133,3958.595526,10723.111,4994.285714,4.15ms,blockpropagation
6,27900000,190.4761905,16277.29559,4.293447905,3625.937444,10948.11688,4992.714286,5.2ms,blockpropagation
6,28050000,190.4761905,16242.59593,4.296240602,3541.649611,10693.97013,4993.571429,4.66ms,blockpropagation
