period,gaslimit,readtime,dbwritetime,dbreaadtime,blockcommittime,tps,latency,contracttime
22,24000000,4.31ms,9823.334777777778µs,3365.0285217391297µs,4989.666666666667ms,51.94805195,16683.173514851485ms,3.0125698324022347ms
22,25500000,4.23ms,13137.648666666668µs,3317.858511627907µs,4989.666666666667ms,51.94805195,16704.90950676213ms,3.015577997421573ms
22,27000000,4.15ms,9652.20422222222µs,3064.996190476191µs,4989.5ms,51.94805195,16944.331073446327ms,3.0122475290073054ms
22,28500000,5.19ms,10178.834333333332µs,3641.5939782608702µs,4988.5ms,51.94805195,17383.954674841254ms,3.0139664804469275ms
22,30000000,4.83ms,9061.835444444445µs,3479.763535714285µs,4990.333333333333ms,51.94805195,16836.187197304695ms,3.012140094542329ms
23,15000000,5.16ms,9707.599444444444µs,3403.2353400000015µs,4989.666666666667ms,49.68944099,16833.29883797413ms,3.0118177911474002ms
23,16500000,5.35ms,9754.53677777778µs,3586.4331555555555µs,4990.333333333333ms,49.68944099,16692.91260923845ms,3.012032660077353ms
23,18000000,4.53ms,9792.11788888889µs,3304.702µs,4987.333333333333ms,49.68944099,17215.763163244563ms,3.0122475290073054ms
23,19500000,4.38ms,9559.94511111111µs,4198.233928571429µs,4984.333333333333ms,49.68944099,18615.98068669528ms,3.015040825096691ms
23,21000000,4.07ms,18879.011333333336µs,3336.1512608695657µs,4986.833333333333ms,49.68944099,17503.68581081081ms,3.0139664804469275ms
23,22500000,4.49ms,6305.479444444445µs,3752.520720000002µs,4987.166666666667ms,49.68944099,17624.634696132598ms,3.0175118177911475ms
23,24000000,4.28ms,7064.2789999999995µs,3655.0053095238086µs,4990ms,49.68944099,17142.388385957165ms,3.0118177911474002ms
